patent_id,abstract_tokens,claims_tokens,cpc3_list,num_cpc3,has_claims
6220333,93,0,,0,0
6257303,59,0,,0,0
6260276,196,0,,0,0
6272687,349,0,,0,0
6290196,140,0,,0,0
6293565,401,0,,0,0
6294073,249,0,,0,0
6296160,76,0,,0,0
6299550,240,0,,0,0
6306040,182,0,,0,0
6338141,171,0,,0,0
6347375,242,0,,0,0
6357720,72,0,,0,0
6401210,152,0,,0,0
6486832,43,0,,0,0
6543691,331,0,,0,0
6587770,277,0,,0,0
6593017,224,0,,0,0
6616091,74,0,,0,0
6620952,321,0,,0,0
6626874,185,0,,0,0
6652524,302,0,,0,0
6654340,140,0,,0,0
6657021,276,0,,0,0
6661345,156,0,,0,0
6661967,237,0,,0,0
6662574,183,0,,0,0
6663994,239,0,,0,0
6664520,122,0,,0,0
6666666,226,0,,0,0
6669134,74,0,,0,0
6673994,287,0,,0,0
6674744,179,0,,0,0
6674774,314,0,,0,0
6675030,232,0,,0,0
6675734,68,0,,0,0
6677073,147,0,,0,0
6677258,322,0,,0,0
6680961,113,0,,0,0
6682757,266,0,,0,0
6683126,170,0,,0,0
6684781,115,0,,0,0
6684917,179,0,,0,0
6685962,222,0,,0,0
6686564,145,0,,0,0
6695341,150,0,,0,0
6695476,169,0,,0,0
6699013,191,0,,0,0
6699434,212,0,,0,0
6700055,82,0,,0,0
6700384,224,0,,0,0
6701944,146,0,,0,0
6703005,216,0,,0,0
6703748,236,0,,0,0
6705601,145,0,,0,0
6706043,146,0,,0,0
6706077,73,0,,0,0
6706773,108,0,,0,0
6708080,257,0,,0,0
6708115,185,0,,0,0
6712346,318,0,,0,0
6715716,164,0,,0,0
6716485,214,0,,0,0
6718752,218,0,,0,0
6718972,101,0,,0,0
6719293,209,0,,0,0
6720362,244,0,,0,0
6723148,131,0,,0,0
6725490,152,0,,0,0
6725493,65,0,,0,0
6726052,68,0,,0,0
6726213,356,0,,0,0
6726761,256,0,,0,0
6726947,250,0,,0,0
6727018,336,0,,0,0
6727211,59,0,,0,0
6727403,98,0,,0,0
6727517,204,0,,0,0
6727618,146,0,,0,0
6728289,117,0,,0,0
6728594,178,0,,0,0
6729136,190,0,,0,0
6729351,231,0,,0,0
6729842,161,0,,0,0
6730379,163,0,,0,0
6730879,76,0,,0,0
6730913,312,0,,0,0
6731772,168,0,,0,0
6732497,97,0,,0,0
6732716,427,0,,0,0
6732808,228,0,,0,0
6733452,255,0,,0,0
6733766,127,0,,0,0
6734000,198,0,,0,0
6734404,234,0,,0,0
6734512,158,0,,0,0
6735818,137,0,,0,0
6735985,36,0,,0,0
6736419,192,0,,0,0
6736820,207,0,,0,0
6739132,84,0,,0,0
6740094,87,0,,0,0
6740250,236,0,,0,0
6740281,159,0,,0,0
6740752,230,0,,0,0
6741314,244,0,,0,0
6741767,134,0,,0,0
6741816,344,0,,0,0
6742351,245,0,,0,0
6743841,118,0,,0,0
6743932,287,0,,0,0
6743936,192,0,,0,0
6744038,213,0,,0,0
6744209,151,0,,0,0
6744371,161,0,,0,0
6744848,352,0,,0,0
6744976,302,0,,0,0
6745201,350,0,,0,0
6828920,115,0,,0,0
6862744,96,0,,0,0
6865518,155,0,,0,0
6894233,91,0,,0,0
6898484,174,0,,0,0
6912097,149,0,,0,0
6926819,131,0,,0,0
6938300,129,0,,0,0
7004599,287,0,,0,0
7090964,190,0,,0,0
7108757,130,0,,0,0
7215296,173,0,,0,0
7222143,224,0,,0,0
7273730,109,0,,0,0
7290282,248,0,,0,0
7353428,214,0,,0,0
7392542,231,0,,0,0
7479268,92,0,,0,0
7512808,82,0,,0,0
7757292,248,0,,0,0
7834234,82,0,,0,0
7896542,140,0,,0,0
8028338,133,0,,0,0
8079613,206,0,,0,0
8096221,97,0,,0,0
8123077,128,0,,0,0
8195953,195,0,,0,0
8201844,185,0,,0,0
8239948,104,0,,0,0
8290006,213,0,,0,0
8311343,173,0,,0,0
8397310,221,0,,0,0
8456303,221,0,,0,0
8461058,234,0,,0,0
8531290,179,0,,0,0
8622208,133,0,,0,0
8622232,113,0,,0,0
8622235,223,0,,0,0
9239955,127,0,,0,0
9361798,127,0,,0,0
9466000,145,0,,0,0
9519060,135,0,,0,0
9683836,200,0,,0,0
9977972,175,0,,0,0
9984704,108,0,,0,0
D621848,0,0,,0,0
D819630,0,0,,0,0
